Name,Gender,Race,First Appeared,Sexuality,Confirmed LGBT,Morality,Race and Gender,Gender and Sexuality,Sexuality and Race,"Gender, Race, and Sexuality",Role
Amira Ahmed,Women,POC,2008,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Ahmed,Men,POC,2008,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Ajak,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Algrim,Men,POC,2013,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Liz Allan,Women,POC,2017,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Allen,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Ammit,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Ancient One,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Arishem,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Axl,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Ayesha,Women,White,2017,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Ayo,Women,POC,2016,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Hunter B-15,Women,POC,2021,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Nakia Bahadir,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Abu Bakaar,Men,POC,2008,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Bruce Banner,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Bucky Barnes,Men,White,2011,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Clint Barton,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Laura Barton,Women,White,2015,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Georges Batroc,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Quentin Beck,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Yelena Belova,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Derek Bishop,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Elenor Bishop,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Kate Bishop,Women,White,2021,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Emil Blonsky,Men,White,2008,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Elsa Bloodstone,Women,White,2022,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Verussa Bloodstone,Women,White,2022,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Ralph Bohner,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Blackagar Boltagon,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Mallory Book,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Isaiah Bradley,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Betty Brant,Women,White,2017,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Jackson Brice,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Eddie Brock,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Sonny Burch,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Busard,Men,White,2010,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Scott Campbell,Men,POC,2008,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Carina,Women,White,2013,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Carlino,Women,White,2010,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Side Character
Bruno Carrelli,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Mitchell Carson,Men,White,2015,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Peggy Carter,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Sharon Carter,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
America Chavez,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Noel Chevalier,Men,White,2010,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Chess Roberts,Women,POC,2010,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Helen Cho,Women,POC,2015,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Clea,Women,White,2022,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
P. Cleary,Men,POC,2021,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Curt Connors,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Phil Coulson,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ronald Coultrap,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Craig,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Jim Cramer,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Darren Cross,Men,White,2015,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Carol Danvers,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Dave,Men,POC,2015,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Aaron Davis,Men,POC,2017,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Valentina Allegra de Fontaine,Women,White,2021,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Death Dealer,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Rhomann Dey,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Max Dillon,Men,POC,2021,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Dormammu,Men,White,2016,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Drax,Men,POC,2014,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Dreykov,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Antonia Dreykov,Women,White,2021,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Druig,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Dum Dum Dugan,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Jack Duquesne,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ego,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Eitri,Men,White,2018,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Layla El-Faouly,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Matthew Ellis,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Eros,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Abraham Erskine,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Christine Everhart,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Fandral,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Fandral,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Wilson Fisk,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
John Flynn,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Bill Foster,Men,POC,2018,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Jane Foster,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Frigga,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Nick Fury,Men,POC,2008,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Mac Gargan,Men,POC,2017,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Gamora,Women,POC,2014,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Gilgamesh,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Giorgio,Men,POC,2008,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Corvus Glaive,Men,POC,2018,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Gorr the God Butcher,Men,White,2022,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Grandmaster,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Groot,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Justin Hammer,Men,White,2010,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Maya Hansen,Women,White,2013,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Agatha Harkness,Women,White,2021,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Roger Harrington,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Arthur Harrow,Men,White,2022,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Tyler Hayward,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
He Who Remains,Men,POC,2021,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Heimdall,Men,POC,2011,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Hela,Women,White,2017,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Hercules,Men,White,2022,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Maria Hill,Women,White,2012,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Happy Hogan,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Hogun,Men,POC,2011,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Lemar Hoskins,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Howard the Duck,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ikaris,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
J. Jonah Jameson,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Edwin Jarvis,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
J.A.R.V.I.S.,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Jon Jon,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Michelle Jones-Watson,Women,POC,2017,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Kaecilius,Men,White,2016,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Kamran,Men,POC,2022,Straight,,Neutral,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Kareem,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Katy Chen,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Kazi Kazimierczak,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
K.E.V.I.N,Men,White,2022,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Harley Keener,Men,White,2013,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Kamala Khan,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Khonshu,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Aldrich Killian,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ghostface Killah,Men,POC,2008,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Kingo,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Ulysses Klaue,Men,White,2015,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Cameron Klien,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Korath,Men,POC,2014,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Korg,Men,POC,2017,LGBTQ+,2022,Good,Men of Color,LGBTQ+ Men,LGBTQ+ POC,LGBTQ+ Men,Main Character
Kro,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Heinz Kruger,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Kurt,Men,POC,2015,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Cassie Long,Women,White,2015,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Cassie Long,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Scott Lang,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Laufey,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ned Leeds,Men,POC,2017,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Darcy Lewis,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Dr. List,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Maya Lopez,Women,POC,2021,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Loki,Men,White,2011,LGBTQ+,2021,Neutral,White Men,LGBTQ+ Men,LGBTQ+ White People,LGBTQ+ White Men,Main Character
Luis,Men,POC,2014,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Mary MacPherran,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Makkari,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Malekith,Men,White,2013,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Mantis,Women,POC,2014,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Mar-Vell,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Flint Marko,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Martinex,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Phineas Mason,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Rick Mason,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Ebony Maw,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Pietro Maximoff,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Wanda Maximoff,Women,White,2014,Straight,,Neutral,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Ralph Mays,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
M'Baku,Men,POC,2018,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Proxima Midnight,Women,White,2018,Straight,,Evil,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Miek,Men,White,2017,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Mobius M. Mobius,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Anton Mogat,Men,White,2022,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Karl Mordo,Men,POC,2016,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Karli Morgenthau,Women,POC,2021,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Matt Murdock,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Najma,Women,POC,2022,Straight,,Evil,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Nakia Bahadir,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Nebula,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Erik Killmonger Stevens,Men,POC,2018,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
N'Jobu,Men,POC,2018,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Kraglin Obfonteri,Men,White,2014,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Cull Obsidian,Men,White,2018,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Otto Octavius,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Odin,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Okoye,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Aleta Ogord,Women,POC,2017,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Stakar Ogord,Men,White,2017,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Omar,Men,POC,2008,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Side Character
Norman Osborn,Men,White,2021,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
The Other,Men,White,2012,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
David Owens,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Christine Palmer,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Jonathan Pangborn,Men,White,2016,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
May Parker,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Peter Parker,Men,White,2016,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Peter Parker (Amazing Spiderman),Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Peter Parker (Neighborhood Spiderman),Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Aunt May,Women,White,2016,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Karun Patel,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Phastos,Men,POC,2021,LGBTQ+,2021,Good,Men of Color,LGBTQ+ Men,LGBTQ+ POC,LGBTQ+ Men,Main Character
Chester Phillips,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Alexander Pierce,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Pip the Troll,Men,White,2021,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Pepper Potts,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Pratt,Men,White,2008,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Side Character
Augustus Pugliese,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Dr. Hank Pym,Men,White,2015,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Meredith Quill,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Peter Quill,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Irani Rael,Women,White,2014,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Maria Rambeau,Women,POC,2019,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Monica Rambeau,Women,POC,2019,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Ramirez,Women,POC,2008,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Side Character
Ramonda,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Nikki Ramos,Women,POC,2022,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Razor Fist,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Ravonna Renslayer,Women,POC,2021,Straight,,Neutral,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
James Rhodes,Men,POC,2008,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Reed Richards,Men,White,2022,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
William Ginter Riva,Men,White,2008,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Rocket,Men,White,2014,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Steve Rogers,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Jack Rollins,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Natasha Romanoff,Women,White,2010,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Ronan the Accuser,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Betty Ross,Women,White,2008,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Everett K. Ross,Men,White,2016,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Thaddeus Ross,Men,White,2008,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Brock Rumlow,Men,White,2014,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Jack Russell,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Johann Schmidt,Men,White,2011,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Johann Schmidt,Men,White,2019,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Herman Schultz,Men,POC,2017,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Erik Selvig,Men,White,2011,Straight,,Good,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Sersi,Women,POC,2021,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Shang-Chi,Men,POC,2021,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Alexei Shostakov,Men,White,2021,Straight,,Neutral,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Shuri,Women,POC,2018,Straight,,Good,Women of Color,Straight Women,Straight POC,Straight Women of Color,Main Character
Sif,Women,White,2011,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Jasper Sitwell,Men,POC,2011,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Skurge,Men,White,2017,Straight,,Evil,White Men,Straight Men,Straight White People,Straight White Men,Main Character
Trevor Slattery,Men,POC,2013,Straight,,Evil,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
Soren,Women,White,2019,Straight,,Good,White Women,Straight Women,Straight White People,Straight White Women,Main Character
Marc Spector,Men,POC,2022,Straight,,Good,Men of Color,Straight Men,Straight POC,Straight Men of Color,Main Character
